learn:dsjwz.csv check jqzx.csv:278:学界 | 商汤联合提出基于FPGA的快速Winograd算法：实现FPGA之上最优的CNN表现与能耗 	 Result: 	0.1680613224413793 	345 	100



  	class: 增长  	d: 6  	pt: 2.0  	diff:  添加A0.5125 长A0.46875 日益增长A0.01875 累加B1.0
  	class: 宽度  	d: 19  	pt: 2.0  	diff:  步长A0.47368421052631576 小幅A0.05263157894736842 增长率A0.3157894736842105 宽度A0.15789473684210525 步幅B1.0
  	class: 遭受  	d: 20  	pt: 1.96  	diff:  面临A0.72 遭受A0.14 遭遇A0.06 中A0.02 饱受A0.02 备受AB0.98 倍受A0.02
  	class: 改换  	d: 12  	pt: 1.8782608695652172  	diff:  转换A0.4956521739130435 转移A0.23478260869565218 更换A0.06086956521739131 变换AB0.9391304347826087 变A0.05217391304347826 移A0.017391304347826087 改换A0.017391304347826087 换A0.06086956521739131
  	class: 实行  	d: 11  	pt: 1.8208955223880596  	diff:  实践A0.31840796019900497 实施A0.14427860696517414 执行A0.4129353233830846 行AB0.9104477611940298 施行A0.004975124378109453 履行A0.009950248756218905 实行A0.01990049751243781
  	class: 分开  	d: 13  	pt: 1.7600000000000002  	diff:  细分A0.17 划分A0.12 分A0.53 分割AB0.88 分叉A0.02 瓜分A0.04
  	class: 任用  	d: 12  	pt: 1.6666666666666665  	diff:  选用A0.16666666666666666 收录A0.3333333333333333 任用A0.16666666666666666 录取A0.16666666666666666 重用AB0.8333333333333334
  	class: 结果  	d: 8  	pt: 1.6363636363636362  	diff:  后果A0.6363636363636364 产物A0.18181818181818182 下文AB0.8181818181818181
  	class: 有  	d: 28  	pt: 1.6125654450261777  	diff:  拥有A0.6020942408376964 富有A0.031413612565445025 具A0.06806282722513089 具备AB0.806282722513089 持有A0.07853403141361257 负有A0.010471204188481676 存有A0.005235602094240838 享有A0.010471204188481676
  	class: 有害  	d: 26  	pt: 1.6000000000000003  	diff:  伤害A0.3 害A0.1 损害AB0.8 有害A0.1 危害A0.3
  	class: 推理  	d: 5  	pt: 1.48  	diff:  推导AB0.74 推理A0.7 推演A0.04
  	class: 互相  	d: 11  	pt: 1.4588235294117646  	diff:  交互A0.6588235294117647 并行AB0.7294117647058824 相A0.07058823529411765
  	class: 部署  	d: 4  	pt: 1.43859649122807  	diff:  配备A0.06140350877192982 部署A0.5263157894736842 配置AB0.7192982456140351 安排A0.13157894736842105
  	class: 好  	d: 49  	pt: 1.423423423423423  	diff:  出色A0.09009009009009009 漂亮A0.07207207207207207 优秀AB0.7117117117117118 精彩A0.12612612612612611 理想A0.3063063063063063 精美A0.018018018018018018 佳A0.018018018018018018 美妙A0.04504504504504504 拔尖A0.009009009009009009 优异A0.009009009009009009 帅A0.009009009009009009 妙A0.009009009009009009
  	class: 涉及  	d: 14  	pt: 1.417624521072797  	diff:  提到A0.2413793103448276 关系A0.4329501915708812 涉及AB0.7088122605363985 关乎A0.01532567049808429 干A0.01532567049808429 事关A0.0038314176245210726
  	class: 消除  	d: 43  	pt: 1.36  	diff:  消除A0.24 排除A0.1 排A0.06 脱A0.1 解AB0.6799999999999999 去掉A0.08 清除A0.04 破A0.02 消A0.04
